ID number,sub.sample,sample.id,sample.weight.mg,percent.n,percent.C,delta.13.C,notes,keep.for.analysis
1,a,1A,13.68,NA,0.57,-26.06,,yes
1,b,1B,13.03,NA,0.56,-26.64,,yes
2,a,2A,12.748,NA,0.58,-27.2,,yes
2,b,2B,13.349,NA,0.63,-28.17,,yes
3,a,3A,12.851,NA,0.65,-29.94,,yes
3,b,3B,13.104,NA,0.61,-27.71,,yes
4,a,4A,12.434,NA,0.5,-27.97,,yes
4,b,4B,13.564,NA,0.46,-27.87,,yes
5,a,5A,13.409,NA,0.62,-28.51,,yes
5,b,5B,13.393,NA,0.55,-26.42,,yes
6,a,6A,12.765,NA,0.75,-25.94,,yes
6,b,6B,14.014,NA,0.77,-26.75,,yes
7,a,7A,13.242,NA,0.64,-25.44,,yes
7,b,7B,13.221,NA,0.68,-25.26,,yes
8,a,8A,13.237,NA,0.97,-24.65,,yes
8,b,8B,13.878,NA,1.02,-24.79,,yes
9,a,9A,13.501,NA,0.66,-25.66,,yes
9,b,9B,13.51,NA,1.01,-25.93,,yes
10,a,10A,14.029,NA,0.63,-26.06,,yes
10,b,10B,12.831,NA,0.64,-26.51,,yes
11,a,11A,13.024,NA,0.48,-28.42,,yes
11,b,11B,13.841,NA,0.53,-26.3,,yes
12,a,12A,13.965,NA,0.53,-26.65,,yes
12,b,12B,13.08,NA,0.48,-27.77,,yes
13,a,13A,13.23,NA,0.8,-26.38,,yes
13,b,13B,14.203,NA,0.93,-25.3,,yes
14,a,14A,13.697,NA,0.64,-26.75,,yes
14,b,14B,13.08,NA,0.62,-26.53,,yes
15,a,15A,16.486,1.6,8.77,-23.26,,yes
15,b,15B,15.801,1.06,6.03,-29.4,,yes
16,a,16A,13.357,NA,0.86,-26.56,,yes
16,b,16B,14.359,NA,0.87,-26.62,,yes
17,a,17A,14.48,0.45,3.49,-25.02,,yes
17,b,17B,14.16,0.44,3.57,-25.25,,yes
18,a,18A,14.302,1.65,4.26,-24.18,,yes
18,b,18B,15.224,1.89,4.3,-24.12,,yes
19,a,19A,15.015,0.43,5.01,-24.04,,yes
19,b,19B,15.92,0.54,6.21,-23.82,,yes
20,a,20A,15.306,0.54,6.03,-23.6,,yes
20,b,20B,15.364,0.48,5.32,-23.93,,yes
21,a,21A,14.393,0.58,4.09,-23.77,,yes
21,b,21B,15.424,2.13,4.62,-23.72,,yes
22,a,22A,14.737,0.56,4.1,-23.91,,yes
22,b,22B,15.221,0.59,3.99,-23.8,,yes
23,a,23A,14.043,0.65,4.92,-23.85,,yes
23,b,23B,16.025,0.69,5.17,-23.83,,yes
24,a,24A,14.116,0.66,4.89,-23.98,,yes
24,b,24B,15.85,0.59,4.47,-23.88,,yes
25,a,25A,14.806,0.52,4.59,-24.35,,yes
25,b,25B,14.956,0.5,4.39,-24.18,,yes
26,a,26A,15.106,0.64,5.59,-23.87,,yes
26,b,26B,14.596,0.53,4.65,-23.79,,yes
27,a,27A,13.416,0.48,4.32,-24.34,,yes
27,b,27B,15.576,0.48,4.37,-24.47,,yes
28,a,28A,13.912,0.57,5.04,-24.14,,yes
28,b,28B,15.053,0.53,4.74,-24.18,,yes
29,a,29A,14.132,0.52,4.3,-24.56,,yes
29,b,29B,14.88,0.61,4.81,-24.76,,yes
30,a,30A,13.996,0.47,3.9,-24.8,,yes
30,b,30B,15.766,0.61,4.79,-24.42,,yes
31,a,31A,14.676,0.51,4.48,-24.28,,yes
31,b,31B,14.543,0.46,3.99,-24.21,,yes
32,a,32A,13.848,0.38,3.37,-24.67,,yes
32,b,32B,14.041,0.42,3.74,-24.43,,yes
33,a,33A,14.867,0.52,4.61,-24.71,,yes
33,b,33B,15.051,0.55,4.87,-24.64,,yes
34,a,34A,14.1,0.55,4.98,-24.74,,yes
34,b,34B,14.975,0.44,3.97,-25.03,,yes
35,a,35A,14.645,0.47,4.28,-24.64,,yes
35,b,35B,15.016,0.54,4.84,-24.64,,yes
36,a,36A,15.236,0.54,5.24,-25.01,,yes
