ID.number,Client ID,Total P as PO4-P (ppm)
1,1,NA
2,2,NA
3,3,NA
4,4,NA
5,5,NA
6,6,NA
7,7,NA
8,8,NA
9,9,NA
10,10,NA
11,11,NA
12,12,NA
13,13,NA
14,14,NA
15,15,45.76
16,16,NA
17,17,3.91
18,18,9.8
19,19,14.74
20,20,5.61
21,21,9.7
22,22,9.09
23,23,9.15
24,24,8.25
25,25,10.44
26,26,6.37
27,27,15.57
28,28,10.84
29,29,5.46
30,30,8.13
31,31,7.12
32,32,7.35
33,33,7.25
34,34,12.62
35,35,7.35
36,36,9.54
37,37,5.36
38,38,34.02
39,39,4.08
40,40,0.55
41,41,NA
42,42,NA
43,43,NA
44,44,NA
45,45,33.57
46,46,35.46
47,47,31.59
48,48,10.08
49,49,48.46
50,50,46.54
51,51,61.69
52,52,58.25
53,53,23.36
54,54,8.81
55,55,9.69
56,56,35.1
57,57,1.54
58,58,5.04
59,59,1.5
60,60,1.68
61,61,NA
62,62,NA
63,63,NA
64,64,NA
65,65,NA
66,66,NA
67,67,NA
68,68,NA
69,69,NA
70,70,NA
71,71,NA
72,72,NA
73,73,NA
74,74,NA
75,75,NA
76,76,NA
77,77,NA
78,78,0.47
79,79,0.33
80,80,0.4
81,81,0.63
82,82,1.31
83,83,1.69
84,84,1.25
85,85,9.94
86,86,25.98
87,87,9.47
88,88,8.57
89,89,8.32
90,90,6.29
91,91,10.99
92,92,5.36
93,93,22.13
94,94,10.37
95,95,7.06
96,96,7.19
97,97,1.8
98,98,3.96
99,99,9.34
100,100,2.09
101,101,NA
102,102,NA
103,103,NA
104,104,NA
